Country Name,GDP_per_capita,Suicide_rate,HDI_2023,GDP_per_capita_coverage,Suicide_rate_coverage,Low_data_quality_flag,HDI_sq,log_GDP_per_capita,HDI_2023_lag1,GDP_per_capita_lag1,Suicide_rate_lag1,income_group_auto,ISO3,continent,coverage_frac
Seychelles,17606.582029489997,6.685,0.848,1.0,0.8,✅ Sufficient data,0.719104,9.77602809006184,,,,Upper-Middle,SYC,Africa,1.0
Sierra Leone,1039.148712722976,5.960000000000001,0.467,1.0,0.8,✅ Sufficient data,0.21808900000000003,6.946157111485482,,,,Low,SLE,Africa,1.0
Singapore,63547.12942227999,8.59,0.946,1.0,0.8,✅ Sufficient data,0.8949159999999999,11.05953710521627,,,,High,SGP,Asia,1.0
Slovak Republic,18330.50724296338,9.629999999999999,0.88,1.0,0.8,✅ Sufficient data,0.7744,9.816322013280292,,,,Upper-Middle,SVK,Europe,1.0
Slovenia,23997.027532645374,18.332499999999996,0.931,1.0,0.8,✅ Sufficient data,0.8667610000000001,10.085685248853247,,,,High,SVN,Europe,1.0
Solomon Islands,1980.315289374655,20.04,0.584,1.0,0.8,✅ Sufficient data,0.34105599999999997,7.591011348069613,,,,Low,SLB,Oceania,1.0
Somalia,475.7429418155751,7.9675,0.404,1.0,0.8,✅ Sufficient data,0.16321600000000003,6.164877670155696,,,,Low,SOM,Africa,1.0
South Africa,5851.948219578318,20.6725,0.741,1.0,0.8,✅ Sufficient data,0.549081,8.674529913771805,,,,Lower-Middle,ZAF,Africa,1.0
South Sudan,14582.133834276607,7.355,0.388,0.0,0.8,⚠️ Low data reliability,0.150544,9.587552348370933,,,,Upper-Middle,SSD,Africa,1.0
Spain,27238.60217711745,8.3075,0.918,1.0,0.8,✅ Sufficient data,0.842724,10.21239044386299,,,,High,ESP,Europe,1.0
Sri Lanka,4313.433735230386,14.645,0.776,1.0,0.8,✅ Sufficient data,0.602176,8.3694895562172,,,,Lower-Middle,LKA,Asia,1.0
St. Kitts and Nevis,20581.67129207187,10.66875,0.84,1.0,0.0,⚠️ Low data reliability,0.7055999999999999,9.932156215618027,,,,High,KNA,America,1.0
St. Lucia,10257.830624519698,6.6925,0.748,1.0,0.8,✅ Sufficient data,0.559504,9.235796656262858,,,,Upper-Middle,LCA,America,1.0
